date,maxtemp,mintemp,rain,wind,sun
13-Jun-21,23.7,12.5,0,5,0.7
14-Jun-21,17.8,9.2,0.2,10.5,4.1
15-Jun-21,22.8,5.7,0,7.3,8.1
16-Jun-21,18.1,9.6,0.6,7.2,1.3
17-Jun-21,18.2,7.9,0,8.2,7.5
18-Jun-21,16,4,0,6.5,8.4
19-Jun-21,16.8,2.9,0,6.2,7.9
20-Jun-21,16.4,9.3,0,8.4,11.8
21-Jun-21,18,6.3,0,11.5,9.6
22-Jun-21,18,5.4,0.2,7.6,10.6
23-Jun-21,18.6,9.6,8.1,6.1,0
24-Jun-21,18.6,11.1,2.6,10.8,3.1
25-Jun-21,13.8,9.1,0.9,11,0.1
26-Jun-21,14.7,8.8,0,10.2,2.3
27-Jun-21,18.2,6.6,0,8.5,9.1
28-Jun-21,19.8,6.5,0,5,4.2
29-Jun-21,22.7,7,0,5.7,14.9
30-Jun-21,19.4,7.6,0,6.2,8.1
01-Jul-21,19.6,6.1,0,4.7,6.5
02-Jul-21,19.5,10.6,0,6.1,3.1
03-Jul-21,18.8,12.4,0.7,6.4,0.7
04-Jul-21,19.9,12.5,9.9,6.2,3.4
05-Jul-21,19,10.5,0.5,7.5,7.1
06-Jul-21,16.6,8.8,14.5,6.2,0.8
07-Jul-21,20.3,11.9,0,6.6,2.8
08-Jul-21,19.6,12.1,0,5.5,1.8
09-Jul-21,17.4,13.9,0.1,4.8,0.1
10-Jul-21,19.4,9.9,0,6.1,5.2
11-Jul-21,16.4,13.1,5.7,7.9,0.9
12-Jul-21,20.1,13.4,3.7,4.9,1.4
13-Jul-21,19.1,10.7,0.1,7.2,0.8
14-Jul-21,22.3,10.3,0,8.8,6.6
15-Jul-21,24.1,13.1,0,7.3,5.9
16-Jul-21,24.7,12.2,0,4.5,13
17-Jul-21,26.8,12.6,0,3.9,15.1
18-Jul-21,23.9,12.9,0,6.2,14.7
19-Jul-21,23.4,13.7,0,6.5,13.5
20-Jul-21,23.6,12.4,0,5.6,14.7
21-Jul-21,26,10.5,0,4.8,14.5
22-Jul-21,26.1,10.3,0,5.5,13.8
23-Jul-21,23.6,13.2,0,8.1,10.1
24-Jul-21,19.5,9.3,0,9.8,9.5
25-Jul-21,24.5,8.5,0,4,11.8
26-Jul-21,19.8,10.1,0,7.1,2.5
27-Jul-21,20,13.2,5,7,0.9
28-Jul-21,16.7,10.7,5.1,11,3.8
29-Jul-21,17.7,10.2,0,9.6,5.1
30-Jul-21,18.2,12.6,26.9,8,0.4
31-Jul-21,18.4,12.5,0.7,6.7,0.3
01-Aug-21,18.5,10.7,0,6.1,2.1
02-Aug-21,16.5,7.4,0,5.8,2
03-Aug-21,17.8,10,0.8,3.5,2.5
04-Aug-21,21.8,8.8,0.3,6,4.4
05-Aug-21,18.9,13.3,25.8,7.8,0.6
06-Aug-21,17.9,13.6,1.6,11.3,2
07-Aug-21,16.9,13.7,9.1,12.5,1.4
08-Aug-21,19.1,11.9,0.4,12.8,5.2
09-Aug-21,18.6,11,3.8,8.3,2.7
10-Aug-21,19.1,12.3,0,5.9,2.4
11-Aug-21,19.5,8.7,1.5,7.7,4.3
12-Aug-21,19.4,9.9,3.4,9.3,5.7
13-Aug-21,19.4,12,0,10,5.1
14-Aug-21,15.2,12.3,2.2,5.6,0
15-Aug-21,18.1,11.5,0.1,7,1.9
16-Aug-21,16.4,12,0.1,13.2,0.8
17-Aug-21,18.3,12.2,0.1,14.8,0.6
18-Aug-21,17.2,11.7,0,9,0.2
19-Aug-21,19.2,10.2,0.4,4.5,1
20-Aug-21,20.5,12.9,3.9,6.1,0.5
21-Aug-21,18.6,12.8,10.1,5.7,1.5
22-Aug-21,19.2,12.2,0.2,5.5,1.8
23-Aug-21,20.4,9.3,0,4.4,11.9
24-Aug-21,20.2,9.9,0.3,5.2,9.7
25-Aug-21,21.7,8.6,0,4.5,10.2
26-Aug-21,20.8,9.7,0,5.5,12.4
27-Aug-21,18.6,7.1,0,5.8,9.5
28-Aug-21,20.2,7.8,0,3.9,12.2
29-Aug-21,17.6,7.6,0,6.2,0.5
30-Aug-21,15,10.6,0.1,8.9,0
31-Aug-21,14.5,12.4,1.1,10,0.1
01-Sep-21,17.3,8.6,0,8.6,1.4
02-Sep-21,15.6,7.4,0,8.2,0.1
03-Sep-21,16,8.7,0,7.7,0
04-Sep-21,18.8,11.6,0,6,1.5
05-Sep-21,21.7,13.3,0,6.5,5
06-Sep-21,22.9,11.9,0,4.2,11.1
07-Sep-21,21.1,11.4,0.1,6,9.1
08-Sep-21,22.5,11.8,0.1,5.2,1.4
09-Sep-21,20.7,15,8.6,4,2.6
10-Sep-21,20.2,14.7,0.1,6.7,0.8
11-Sep-21,19.4,11.6,0,9,3.7
12-Sep-21,14.2,7.2,0.5,5.5,0
13-Sep-21,17.1,6.5,1.2,5.8,0.2
14-Sep-21,19.5,12.3,0,5.1,8
15-Sep-21,18.5,12.1,0,4.8,0.1
16-Sep-21,20,10,0,5.8,2.1
17-Sep-21,18.2,12.7,6.3,7.1,0
18-Sep-21,17.7,9.9,0,5,1.9
19-Sep-21,18.2,10.3,0.1,7,6.2
20-Sep-21,18.1,9.4,0,6.9,4.8
21-Sep-21,17.3,11.7,0,6.9,2.1
22-Sep-21,20.2,13.4,0,9.3,7.7
23-Sep-21,19,12.1,0.1,9.8,6.1
24-Sep-21,20.3,13.6,0.1,9.7,1.3
25-Sep-21,22.5,15.2,0,5.8,2.9
26-Sep-21,20.4,11.1,8.4,8.5,2.7
27-Sep-21,15.6,8.7,10.4,7.5,6.9
28-Sep-21,14.7,6.3,0.1,8,5.5
29-Sep-21,14.3,5,1.2,10.6,7.3
30-Sep-21,15.9,10.4,4.7,10.2,0.1
01-Oct-21,13.7,7.9,2,11,8.7
02-Oct-21,13.8,7.5,0.5,8.6,4.4
03-Oct-21,15,7.3,2.4,11.4,6.1
04-Oct-21,14,7.8,3.8,7.2,4.6
05-Oct-21,14.5,7.1,0.8,14.3,7.3
06-Oct-21,17.2,7.1,1,7,0.9
07-Oct-21,20.2,15.8,0.6,9.4,1.5
08-Oct-21,19.4,14.7,6.3,6.8,2.6
09-Oct-21,17.7,7.4,1.9,6,3.5
10-Oct-21,15.1,6.1,0.2,8.1,6.3
11-Oct-21,14.5,5.2,0,6.1,7.4
12-Oct-21,14.7,8.6,0,8.6,0.3
13-Oct-21,12.3,10.9,0,5.3,0
14-Oct-21,14.4,10.7,0,7.8,0.1
15-Oct-21,13.1,5.5,0.4,4.9,5.6
16-Oct-21,15.1,6.2,4.6,5.4,1.9
17-Oct-21,16.8,13.2,0,6.9,0.8
18-Oct-21,19,13.8,0.8,7.7,1.4
19-Oct-21,18.7,10.8,7.7,7.7,0.7
20-Oct-21,12.3,7.3,5.3,7.9,4.5
21-Oct-21,11,3.6,0,11.8,8.4
22-Oct-21,12.5,6.7,0.2,9.4,3.5
23-Oct-21,13.5,9.4,0.1,11.8,0.2
24-Oct-21,16.1,9.7,0.3,10.3,6.9
25-Oct-21,13.4,8.2,0,7.7,6
26-Oct-21,17,9.7,0.7,13.5,0.5
27-Oct-21,16.8,14.4,9.8,12,0
28-Oct-21,15.2,10.1,10.7,4.5,0.9
29-Oct-21,12.9,8.5,7.4,6.3,4.8
30-Oct-21,11.6,5.7,0.1,6.7,7.9
31-Oct-21,11.9,7.3,12.2,9.9,4.2
01-Nov-21,10.2,4.7,1.2,12.9,2.1
02-Nov-21,10.1,3.7,0,9,4.8
03-Nov-21,10,3.4,0,11.7,7.6
04-Nov-21,9.6,3.2,0,10.5,5.8
05-Nov-21,11,6.6,0,7.5,0.2
06-Nov-21,13.9,7.7,0.1,12.6,0.5
07-Nov-21,11,4.4,0,10.5,6.7
08-Nov-21,16.4,6.1,2.3,7.3,2.2
09-Nov-21,14,9.6,0.1,8.6,2
10-Nov-21,11.6,6.9,0,3.9,3
11-Nov-21,14.3,3.7,1.1,9.1,0.1
12-Nov-21,13.2,10,0.7,15,0.5
13-Nov-21,12.3,9.6,0,6.1,0.1
14-Nov-21,14.5,6.2,0,2.6,0.6
15-Nov-21,12.4,5.9,0.7,5.5,1.7
16-Nov-21,10.9,7.4,0,8,0.3
17-Nov-21,10.9,6.8,0,9.1,0.2
18-Nov-21,13.3,10.4,0,9.5,0.3
19-Nov-21,12.3,8.9,0,6.5,2.9
20-Nov-21,11.8,2.9,0.6,8.3,2.9
21-Nov-21,7.6,0.8,0,11,7.2
22-Nov-21,8,-1.2,0,6.1,7.4
23-Nov-21,7,-0.1,0,5.9,0
24-Nov-21,7.3,1,0.3,8.1,0.2
25-Nov-21,6.1,0.7,0,10.7,2.6
26-Nov-21,8,1.6,0.3,19.2,3.5
27-Nov-21,4.8,0.2,0,16.6,4.6
28-Nov-21,4.8,0.3,0,8.6,0.1
29-Nov-21,9.1,1.4,0,8.8,0.1
